Instanz; Metaheuristik; k; Iterationen; Kosten vorher; kosten nachher; Verstrichene Zeit;
instances/circ14.txt;VNS;1;100;1.182;816;139,508;
instances/circ14.txt;VNS;1;100;1.182;812;120,662;
instances/circ14.txt;VNS;1;100;1.182;802;120,986;
instances/circ14.txt;VNS;1;100;1.182;814;119,38;
instances/circ14.txt;VNS;1;100;1.182;836;139,591;
instances/circ14.txt;VNS;1;100;1.182;834;132,952;
instances/circ14.txt;VNS;1;100;1.182;806;124,594;
instances/circ14.txt;VNS;1;100;1.182;820;124,016;
instances/circ14.txt;VNS;1;100;1.182;782;116,611;
instances/circ14.txt;VNS;1;100;1.182;828;127,133;
instances/circ14.txt;VNS;1;100;1.182;822;125,22;
instances/circ14.txt;VNS;1;100;1.182;818;111,915;
instances/circ14.txt;VNS;1;100;1.182;814;134,496;
instances/circ14.txt;VNS;1;100;1.182;792;125,73;
instances/circ14.txt;VNS;1;100;1.182;832;107,883;
instances/circ14.txt;VNS;1;100;1.182;802;159,333;
instances/circ14.txt;VNS;1;100;1.182;816;116,116;
instances/circ14.txt;VNS;1;100;1.182;808;105,941;
instances/circ14.txt;VNS;1;100;1.182;838;145,743;
instances/circ14.txt;VNS;1;100;1.182;802;132,072;
instances/circ14.txt;VNS;1;100;1.182;850;129,134;
instances/circ14.txt;VNS;1;100;1.182;786;114,164;
instances/circ14.txt;VNS;1;100;1.182;822;117,293;
instances/circ14.txt;VNS;1;100;1.182;828;126,167;
instances/circ14.txt;VNS;1;100;1.182;842;126,045;
instances/circ14.txt;VNS;1;100;1.182;814;110,935;
instances/circ14.txt;VNS;1;100;1.182;790;107,101;
instances/circ16.txt;VNS;1;100;1.818;1.242;217,5;
instances/circ16.txt;VNS;1;100;1.818;1.222;217,48;
instances/circ16.txt;VNS;1;100;1.818;1.260;172,013;
instances/circ16.txt;VNS;1;100;1.818;1.216;255,604;
instances/circ16.txt;VNS;1;100;1.818;1.276;204,849;
instances/circ16.txt;VNS;1;100;1.818;1.256;190,49;
instances/circ16.txt;VNS;1;100;1.818;1.270;162,545;
instances/circ16.txt;VNS;1;100;1.818;1.222;198,254;
instances/circ16.txt;VNS;1;100;1.818;1.214;205,191;
instances/circ16.txt;VNS;1;100;1.818;1.222;273,29;
instances/circ16.txt;VNS;1;100;1.818;1.224;220,328;
instances/circ16.txt;VNS;1;100;1.818;1.224;249,393;
instances/circ16.txt;VNS;1;100;1.818;1.226;180,754;
instances/circ16.txt;VNS;1;100;1.818;1.234;198,5;
instances/circ16.txt;VNS;1;100;1.818;1.222;212,908;
instances/circ16.txt;VNS;1;100;1.818;1.238;189,042;
instances/circ16.txt;VNS;1;100;1.818;1.204;199,343;
instances/circ16.txt;VNS;1;100;1.818;1.196;220,501;
instances/circ16.txt;VNS;1;100;1.818;1.254;263,218;
instances/circ16.txt;VNS;1;100;1.818;1.278;238,77;
instances/circ16.txt;VNS;1;100;1.818;1.200;185,796;
instances/circ16.txt;VNS;1;100;1.818;1.262;209,904;
instances/circ16.txt;VNS;1;100;1.818;1.226;201,539;
instances/circ16.txt;VNS;1;100;1.818;1.214;258,128;
instances/circ16.txt;VNS;1;100;1.818;1.208;182,65;
instances/circ16.txt;VNS;1;100;1.818;1.268;182,851;
instances/circ16.txt;VNS;1;100;1.818;1.268;187,233;
instances/circ16.txt;VNS;1;100;1.818;1.218;184,218;
instances/circ16.txt;VNS;1;100;1.818;1.258;229,614;
instances/circ16.txt;VNS;1;100;1.818;1.232;229,784;
instances/circ18.txt;VNS;1;100;2.426;1.638;385,461;
instances/circ18.txt;VNS;1;100;2.426;1.618;378,974;
instances/circ18.txt;VNS;1;100;2.426;1.628;470,173;
instances/circ18.txt;VNS;1;100;2.426;1.610;409,045;
instances/circ18.txt;VNS;1;100;2.426;1.602;427,39;
instances/circ18.txt;VNS;1;100;2.426;1.584;380,496;
instances/circ18.txt;VNS;1;100;2.426;1.654;483,125;
instances/circ18.txt;VNS;1;100;2.426;1.604;420,251;
instances/circ18.txt;VNS;1;100;2.426;1.596;384,44;
instances/circ18.txt;VNS;1;100;2.426;1.620;333,96;
instances/circ18.txt;VNS;1;100;2.426;1.628;421,265;
instances/circ18.txt;VNS;1;100;2.426;1.612;422,499;
instances/circ18.txt;VNS;1;100;2.426;1.624;378,707;
instances/circ18.txt;VNS;1;100;2.426;1.524;426,892;
instances/circ18.txt;VNS;1;100;2.426;1.582;390,094;
instances/circ18.txt;VNS;1;100;2.426;1.630;418,585;
instances/circ18.txt;VNS;1;100;2.426;1.660;410,211;
instances/circ18.txt;VNS;1;100;2.426;1.588;415,008;
instances/circ18.txt;VNS;1;100;2.426;1.730;569,357;
instances/circ18.txt;VNS;1;100;2.426;1.574;368,024;
instances/circ18.txt;VNS;1;100;2.426;1.700;496,395;
instances/circ18.txt;VNS;1;100;2.426;1.614;439,206;
instances/circ18.txt;VNS;1;100;2.426;1.634;449,3;
instances/circ18.txt;VNS;1;100;2.426;1.610;399,725;
instances/circ18.txt;VNS;1;100;2.426;1.590;412,685;
instances/circ18.txt;VNS;1;100;2.426;1.672;407,873;
instances/circ18.txt;VNS;1;100;2.426;1.664;437,735;
instances/circ18.txt;VNS;1;100;2.426;1.624;439,544;
instances/circ18.txt;VNS;1;100;2.426;1.628;335,332;
instances/circ18.txt;VNS;1;100;2.426;1.640;384,763;
instances/circ20.txt;VNS;1;100;3.482;2.228;694,005;
instances/circ20.txt;VNS;1;100;3.482;2.138;730,042;
instances/circ20.txt;VNS;1;100;3.482;2.104;654,233;
instances/circ20.txt;VNS;1;100;3.482;2.156;767,418;
instances/circ20.txt;VNS;1;100;3.482;2.138;648,618;
instances/circ20.txt;VNS;1;100;3.482;2.038;604,769;
instances/circ20.txt;VNS;1;100;3.482;2.134;812,068;
