Instanz; Swap Art; k; Kosten vorher; kosten nachher; Verstrichene Zeit
instances/circ4.txt;PrtSwapTms;50;26;24;0,007;
instances/circ6.txt;PrtSwapTms;50;90;90;0,042;
instances/circ8.txt;PrtSwapTms;50;218;202;0,14;
instances/circ10.txt;PrtSwapTms;50;404;394;0,278;
instances/circ12.txt;PrtSwapTms;50;732;722;0,452;
instances/circ14.txt;PrtSwapTms;50;1.216;1.188;0,769;
instances/circ16.txt;PrtSwapTms;50;1.762;1.726;0,596;
instances/circ18.txt;PrtSwapTms;50;2.494;2.454;1,21;
instances/circ20.txt;PrtSwapTms;50;3.474;3.398;1,274;
instances/circ4.txt;PrtSwapTms;100;26;24;0,007;
instances/circ6.txt;PrtSwapTms;100;90;90;0,041;
instances/circ8.txt;PrtSwapTms;100;218;202;0,152;
instances/circ10.txt;PrtSwapTms;100;404;394;0,472;
instances/circ12.txt;PrtSwapTms;100;732;722;0,927;
instances/circ14.txt;PrtSwapTms;100;1.216;1.188;1,419;
instances/circ16.txt;PrtSwapTms;100;1.762;1.726;1,087;
instances/circ18.txt;PrtSwapTms;100;2.494;2.454;2,342;
instances/circ20.txt;PrtSwapTms;100;3.474;3.398;2,51;
